problem,test,base,stat,p,A12,median_diff,p_holm,outcome
SpeedReducer,SCA,PSO,128.0,0.3665854334831238,0.4736,0.0005923006199884048,1.0,tie
SpeedReducer,SCA,LSHADE,139.0,0.5424043536186218,0.6032,0.02449818415359624,1.0,tie
SpeedReducer,SCA,CMAES,38.0,0.0003764033317565918,0.92,0.06057457793952393,0.041027963161468506,loss
SpeedReducer,SCA,RS,80.0,0.02550506591796875,0.3152,-0.004980812534814312,1.0,tie
SpeedReducer,SSA,DE,34.0,0.00021690130233764648,0.9087999999999999,0.09594889002810023,0.024292945861816406,loss
SpeedReducer,SSA,PSO,83.0,0.03180783987045288,0.7408,0.06338109941327347,1.0,tie
SpeedReducer,SSA,LSHADE,24.0,4.5418739318847656e-05,0.8416,0.08728698294688131,0.005450248718261719,loss
SpeedReducer,SSA,CMAES,10.0,2.562999725341797e-06,0.92,0.12336337673280899,0.00037163496017456055,loss
SpeedReducer,SSA,RS,57.0,0.003419220447540283,0.7568,0.05780798625847075,0.33850282430648804,tie
SpeedReducer,HHO,DE,2.0,1.7881393432617188e-07,0.9408000000000001,0.4789657586282152,2.8252601623535156e-05,loss
SpeedReducer,HHO,PSO,1.0,1.1920928955078125e-07,0.8959999999999999,0.4463979680133885,1.9669532775878906e-05,loss
SpeedReducer,HHO,LSHADE,3.0,2.980232238769531e-07,0.9440000000000001,0.47030385154699633,4.649162292480469e-05,loss
SpeedReducer,HHO,CMAES,0.0,5.960464477539063e-08,0.9887999999999999,0.506380245332924,1.609325408935547e-05,loss
SpeedReducer,HHO,RS,3.0,2.980232238769531e-07,0.9056000000000001,0.44082485485858575,4.649162292480469e-05,loss
SpeedReducer,AOA,DE,84.0,0.034173786640167236,0.7472,0.02911450184452629,1.0,tie
SpeedReducer,AOA,PSO,123.0,0.2996123433113098,0.48480000000000006,-0.003453288770300475,1.0,tie
SpeedReducer,AOA,LSHADE,133.0,0.4418373703956604,0.6464,0.02045259476330736,1.0,tie
SpeedReducer,AOA,CMAES,37.0,0.00032907724380493164,0.92,0.05652898854923505,0.03619849681854248,loss
SpeedReducer,AOA,RS,81.0,0.02747941017150879,0.3631999999999999,-0.009026401925103192,1.0,tie
ThreeBarTruss,GWO,DE,0.0,5.960464477539063e-08,1.0,2.4597725539733248e-05,1.609325408935547e-05,loss
ThreeBarTruss,GWO,PSO,12.0,4.172325134277344e-06,0.9456,2.2530781958135612e-05,0.0005924701690673828,loss
ThreeBarTruss,GWO,LSHADE,0.0,5.960464477539063e-08,1.0,2.4597725539733248e-05,1.609325408935547e-05,loss
ThreeBarTruss,GWO,CMAES,0.0,5.960464477539063e-08,1.0,2.4597725539733248e-05,1.609325408935547e-05,loss
ThreeBarTruss,GWO,RS,1.0,1.1920928955078125e-07,0.012800000000000011,-0.0007967306518766492,1.9669532775878906e-05,win
ThreeBarTruss,WOA,DE,0.0,5.960464477539063e-08,1.0,1.1496356643795657e-05,1.609325408935547e-05,loss
ThreeBarTruss,WOA,PSO,58.0,0.0037809014320373535,0.752,9.42941306219802e-06,0.37052834033966064,tie
ThreeBarTruss,WOA,LSHADE,0.0,5.960464477539063e-08,1.0,1.1496356643795657e-05,1.609325408935547e-05,loss
ThreeBarTruss,WOA,CMAES,0.0,5.960464477539063e-08,1.0,1.1496356643795657e-05,1.609325408935547e-05,loss
ThreeBarTruss,WOA,RS,25.0,5.3882598876953125e-05,0.04159999999999996,-0.0008098320207725868,0.006304264068603516,win
ThreeBarTruss,SCA,DE,0.0,1.2179318639780734e-05,1.0,0.0009335923678571967,0.001644208016370399,loss
ThreeBarTruss,SCA,PSO,0.0,5.960464477539063e-08,1.0,0.000931525424275599,1.609325408935547e-05,loss
ThreeBarTruss,SCA,LSHADE,0.0,1.2179318639780734e-05,1.0,0.0009335923678571967,0.001644208016370399,loss
ThreeBarTruss,SCA,CMAES,0.0,1.2179318639780734e-05,1.0,0.0009335923678571967,0.001644208016370399,loss
ThreeBarTruss,SCA,RS,98.0,0.08513903617858887,0.5823999999999999,0.00011226399044081425,1.0,tie
ThreeBarTruss,SSA,DE,0.0,2.7015948487105512e-05,0.96,2.511124717134011e-06,0.0033499776124010835,loss
ThreeBarTruss,SSA,PSO,86.0,0.03933870792388916,0.6032,4.4418113553637365e-07,1.0,tie
ThreeBarTruss,SSA,LSHADE,0.0,2.7015948487105512e-05,0.96,2.511124717134011e-06,0.0033499776124010835,loss
ThreeBarTruss,SSA,CMAES,0.0,2.7015948487105512e-05,0.96,2.511124717134011e-06,0.0033499776124010835,loss
ThreeBarTruss,SSA,RS,0.0,5.960464477539063e-08,0.0064000000000000055,-0.0008188172526992484,1.609325408935547e-05,win
ThreeBarTruss,HHO,DE,0.0,5.960464477539063e-08,1.0,0.0007199117581785225,1.609325408935547e-05,loss
ThreeBarTruss,HHO,PSO,0.0,5.960464477539063e-08,0.9728,0.0007178448145969249,1.609325408935547e-05,loss
ThreeBarTruss,HHO,LSHADE,0.0,5.960464477539063e-08,1.0,0.0007199117581785225,1.609325408935547e-05,loss
ThreeBarTruss,HHO,CMAES,0.0,5.960464477539063e-08,1.0,0.0007199117581785225,1.609325408935547e-05,loss
ThreeBarTruss,HHO,RS,122.0,0.2872292995452881,0.52,-0.00010141661923785989,1.0,tie
ThreeBarTruss,AOA,DE,0.0,5.960464477539063e-08,1.0,0.0009667519472947212,1.609325408935547e-05,loss
ThreeBarTruss,AOA,PSO,0.0,5.960464477539063e-08,1.0,0.0009646850037131236,1.609325408935547e-05,loss
ThreeBarTruss,AOA,LSHADE,0.0,5.960464477539063e-08,1.0,0.0009667519472947212,1.609325408935547e-05,loss
ThreeBarTruss,AOA,CMAES,0.0,5.960464477539063e-08,1.0,0.0009667519472947212,1.609325408935547e-05,loss
ThreeBarTruss,AOA,RS,113.0,0.19081425666809082,0.5695999999999999,0.00014542356987833885,1.0,tie
CantileverBeam,GWO,DE,0.0,5.960464477539063e-08,1.0,9.411215082537306e-05,1.609325408935547e-05,loss
CantileverBeam,GWO,PSO,0.0,5.960464477539063e-08,0.9936000000000001,8.716200000557923e-05,1.609325408935547e-05,loss
CantileverBeam,GWO,LSHADE,0.0,5.960464477539063e-08,1.0,9.411215082537306e-05,1.609325408935547e-05,loss
CantileverBeam,GWO,CMAES,0.0,5.960464477539063e-08,1.0,9.411215082537306e-05,1.609325408935547e-05,loss
CantileverBeam,GWO,RS,0.0,5.960464477539063e-08,0.0,-1.3893787369214214,1.609325408935547e-05,win
CantileverBeam,WOA,DE,0.0,5.960464477539063e-08,1.0,0.00013308408061435534,1.609325408935547e-05,loss
CantileverBeam,WOA,PSO,0.0,5.960464477539063e-08,1.0,0.0001261339297945615,1.609325408935547e-05,loss
CantileverBeam,WOA,LSHADE,0.0,5.960464477539063e-08,1.0,0.00013308408061435534,1.609325408935547e-05,loss
CantileverBeam,WOA,CMAES,0.0,5.960464477539063e-08,1.0,0.00013308408061435534,1.609325408935547e-05,loss
CantileverBeam,WOA,RS,0.0,5.960464477539063e-08,0.0,-1.3893397649916324,1.609325408935547e-05,win
CantileverBeam,SCA,DE,0.0,5.960464477539063e-08,1.0,0.05562518569243676,1.609325408935547e-05,loss
CantileverBeam,SCA,PSO,0.0,5.960464477539063e-08,1.0,0.05561823554161697,1.609325408935547e-05,loss
