problem,algorithm,best,median,mean,std,worst,feas_rate,mean_gap
GearTrain,PSO,2.307815733312755e-11,1.2633782040403278e-09,4.139337103287199e-09,7.006465329794159e-09,2.7264505977152865e-08,1.0,9.508923494622351
GearTrain,RS,2.7008571488865134e-12,1.0474505705788363e-08,2.1483239323966383e-08,2.9622820883786616e-08,1.4044751420331348e-07,1.0,9.10178469892447
GearTrain,SCA,2.7008571488865134e-12,2.3576406580248844e-09,3.554192695429122e-09,4.989605582880075e-09,1.8273802352995788e-08,1.0,9.501784698924471
GearTrain,SSA,2.307815733312755e-11,2.057529637235457e-09,4.168719410524021e-09,6.367239409944252e-09,2.7264505977152865e-08,1.0,9.607138795697882
GearTrain,WOA,2.307815733312755e-11,1.093566379158992e-09,1.390229336695969e-09,1.0487693738611827e-09,4.503304176718563e-09,1.0,9.705354096773412
IBeamDeflection,AOA,0.013075072692460395,0.013078037202636648,0.013082338995645943,1.5706589684830556e-05,0.013154114677532087,1.0,0.0006301768875825524
IBeamDeflection,CMAES,0.013074119044165586,0.013074131011504187,0.013074143639215375,4.082941670431124e-08,0.01307431842221053,1.0,3.337837050000386e-06
IBeamDeflection,DE,0.013074118904750588,0.013074118904794346,0.01307922310830563,1.3335811733153178e-05,0.01312015798780972,1.0,0.0003918516995914385
IBeamDeflection,GWO,0.013074148913069334,0.013074647893608867,0.013074783185021468,6.456450488647852e-07,0.013077163732998075,1.0,5.2254841363338745e-05
IBeamDeflection,HHO,0.01307411890580318,0.01330070118932045,0.013723246812728193,0.0010624268862695291,0.016448874294692994,0.84,1.641707140276706
IBeamDeflection,LSHADE,0.01307411890477395,0.013074118904849275,0.013074118904857553,5.930305508555498e-14,0.013074118904989303,1.0,1.4459777386493966e-06
IBeamDeflection,PSO,0.013074118904738011,0.013074118904739645,0.013074118904741742,4.302493907589784e-15,0.01307411890475374,1.0,1.445968880726023e-06
IBeamDeflection,RS,0.01354141887132294,0.014402892657381755,0.014518963640790045,0.0005505854462629194,0.01574953739752597,1.0,0.11051343043039637
