problem,algorithm,best,median,mean,std,worst,feas_rate,mean_gap
SpeedReducer,DE,3037.5755928383046,3085.68699609256,3121.0257904250293,106.250505447453,3431.507684492971,1.0,0.04227901757782569
SpeedReducer,GWO,3005.921619541941,3125.0244111847187,3125.309462022777,65.03367546631334,3208.34000605048,1.0,0.04370956680245059
SpeedReducer,HHO,3027.145349048998,4335.09344005533,4302.091676192136,772.1626471792081,5414.266013434368,1.0,0.4367006833290671
SpeedReducer,LSHADE,2994.4710633287855,3117.719316612213,3120.654867754023,116.28437027673789,3464.6666140972807,1.0,0.042155146471627415
SpeedReducer,PSO,3024.7871116594974,3390.1542624988365,3547.089977480844,424.77682532461705,4311.2160781811735,1.0,0.18456485311049328
SpeedReducer,RS,3023.6619068410946,3190.771731242365,3240.3300316665072,141.41500094674325,3613.486980947545,1.0,0.08212114503973991
SpeedReducer,SCA,3055.1116500743533,3117.0184727373935,3121.3301235996955,42.63939430774826,3218.725714344806,1.0,0.0423806508559871
SpeedReducer,SSA,3100.699665716575,3363.87337961336,3310.394912943585,86.93879351115326,3363.87337961336,1.0,0.10551959174537728
SpeedReducer,WOA,2995.2504419892757,3091.891616462054,3099.5195038364204,52.308587767130426,3213.589260144697,1.0,0.035096907347884405
TensionSpring,AOA,0.013187872464300492,0.013195524956824736,0.0215255221463421,0.009292587838004731,0.04297423348838971,1.0,0.699606959837513
TensionSpring,CMAES,0.012665234723663696,0.012666733162420217,0.01266718061037046,2.603915750597396e-06,0.012678363400461532,1.0,0.00017217610505007537
TensionSpring,DE,0.01266523263669619,0.01266523287965961,0.012665234215890425,5.089362954093954e-09,0.012665258274828457,1.0,1.8493161502125906e-05
TensionSpring,GWO,0.012682526300356335,0.012740181518476619,0.012792056798418043,0.00020481689461000538,0.013752287139936353,1.0,0.010032119890883888
TensionSpring,HHO,0.012684683754764755,0.013303161560304174,0.013801778622600512,0.001326415843339535,0.018258595090516794,1.0,0.08975749092779414
TensionSpring,LSHADE,0.012665232602617715,0.01266523289302388,0.012665249458274437,5.361916822975992e-08,0.012665493686441365,1.0,1.9696665964250366e-05
TensionSpring,PSO,0.01266768333297772,0.012930310582414452,0.013390000251324839,0.0010651901485524765,0.016250214757373385,1.0,0.057244394103816834
TensionSpring,RS,0.013336719879580617,0.017531337095521588,0.017209239243238715,0.002050930205189057,0.02113440225208448,1.0,0.3588029406426147
TensionSpring,SCA,0.012877491671467747,0.013193407007026283,0.013415657063379183,0.000704035252697719,0.015299768070596178,1.0,0.059270198450784385
TensionSpring,SSA,0.01285168544837154,0.013810156874984412,0.01666227085547877,0.005766835238807951,0.035851753868133315,1.0,0.31561554326717506
TensionSpring,WOA,0.012680286432577865,0.013309734430646616,0.013506671695334116,0.000876216029244078,0.01602605439807241,1.0,0.06645650969870645
ThreeBarTruss,AOA,263.90339872770375,282.842713474619,274.5541965943383,8.905812498741303,282.842713474619,1.0,0.04038848455139516
ThreeBarTruss,CMAES,263.8958420645142,263.8958421641479,263.89584217906764,9.504467702336733e-08,263.89584246134035,1.0,0.0
ThreeBarTruss,DE,263.89584205704443,263.89584207352294,263.89584208026236,2.7394403667113408e-08,263.89584218905867,1.0,0.0
ThreeBarTruss,GWO,263.8969333387823,263.90135826832744,263.90321559105485,0.005979761674076631,263.920790364697,1.0,2.793598777399552e-05
ThreeBarTruss,HHO,263.8959863454473,263.9721803025269,264.07075542184094,0.2192066401702309,264.62632551558755,1.0,0.0006628070362436713
ThreeBarTruss,LSHADE,263.89584205713146,263.8958420873918,263.8958420879806,2.052241128639676e-08,263.895842136654,1.0,0.0
ThreeBarTruss,PSO,263.8958423033733,263.8960325596051,263.8967037089589,0.0013869766786241769,263.90144501713803,1.0,3.2601984665235103e-06
ThreeBarTruss,RS,263.90804232121104,264.11258854486664,264.10634098904995,0.12284986967107077,264.5593616837901,1.0,0.000797654052970103
ThreeBarTruss,SCA,263.91076920055764,264.0623539736009,264.1064419842945,0.1505548603675627,264.5871460550077,1.0,0.0007980367617058021
ThreeBarTruss,SSA,263.8958442890244,263.89666029712686,263.89860305222965,0.0041725605551395225,263.91275017917945,1.0,1.0457353909367681e-05
ThreeBarTruss,WOA,263.89587686136167,263.89787055908255,263.9009031319772,0.006991415926275082,263.9220591263691,1.0,1.9173215887127125e-05
WeldedBeam,AOA,1.8306169917150927,2.356387520941666,2.3511441857005546,0.33304456931445403,3.158548544512241,1.0,0.3630990865886203
WeldedBeam,CMAES,1.7248523023192115,1.7248523084288339,1.7248523074567705,1.90598646384318e-09,1.7248523085968026,1.0,1.7825110246281446e-07
WeldedBeam,DE,1.7248559878537761,1.7248869007848102,1.7720137055767855,0.11240623703095415,2.161416499156774,1.0,0.027342465079198332
